Sewa Apartemen Taman Melati Surabaya - Modern Stylish Studio at Taman Melati Surabaya Apartment By Travelio,Lokasi,Jenis Unit,Jumlah Bedroom,Luas Unit,Kelengkapan,Lantai Unit,Kamar Mandi,Harga,Jarak dari Kampus (km),Jarak dari Bandara (km),Jarak dari Stasiun (km),Jarak dari Terminal (km),Jarak dari Tol (km),Aksesbilitas,Link URL
473,Wonokromo,studioroom,1,25,Full Furnished,18,1,"Rp5,130,000",2.9,28.4,11,11.1,8.7,"Bandara Internasional Juanda bisa diakses dengan 47 menit berkendara (28,4 km); 40 menit berkendara menuju Stasiun Gubeng (13,9 km); 37 menit berkendara ke Stasiun Pasar Turi (11 km); 20 menit berkendara menuju Jalan Tol Surabaya-Gempol (8,7 km); 29 menit berkendara ke Terminal Joyoboyo (11,1 km); dan RS Marinir Gunung Sari berjarak 27 menit berkendara (9,5 km).",https://www.travelio.com/property/surabaya/enchanting-luxurious-1br-apartment-at-azure-klaska-residence-by-travelio?searchType=monthly&checkIn=07-07-2023&checkOut=07-08-2023&guest=2&nights=1&handpicked=&roomName=1%20Bedroom&roomBreakfast=0
474,Wonokromo,studioroom,1,35.06,Full Furnished,18,1,"Rp4,844,066",3.9,13.9,7.2,6.2,6,Bandara Internasional Juanda dapat ditempuh 24 menit berkendara (13.9 km); Rumah Sakit Premier Surabaya dapat ditempuh 11 menit berkendara (4 km); Universitas 17 Agustus 1945 Surabaya dapat ditempuh 11 menit berkendara (3.9 km); Rumah sakit Islam Surabaya dapat ditempuh 4 menit berkendara (1.6 km); Siloam Hospitals Surabaya dapat ditempuh 14 menit berkendara (5.8 km); Stasiun Surabaya Gubeng dapat ditempuh 18 menit berkendara (7.2 km); Politeknik Kesehatan Surabaya dapat ditempuh 14 menit berkendara (5.3 km); Institut Sepuluh Nopember Surabaya dapat ditempuh 21 menit berkendara (8.8 km).,https://www.travelio.com/property/surabaya/tidy-and-minimalist-studio-at-tanglin-supermall-mansion-apartment-by-travelio?searchType=monthly&checkIn=02-07-2023&checkOut=02-08-2023&guest=undefined&nights=1&handpicked=
475,Sambikerep,studioroom,1,39,Full Furnished,17,1,"Rp5,111,457",2,3,9,3,3,"Terminal Joyoboyo (3 km): Dapat diakses dengan mobil atau taksi, sekitar 10 menit berkendara.

Stasiun Kereta Surabaya Gubeng (9 km): Dapat diakses dengan mobil atau taksi, sekitar 20 menit berkendara",https://www.travelio.com/property/surabaya/best-location-and-homey-2br-at-twin-tower-apartment-by-travelio?searchType=monthly&checkIn=06-07-2023&checkOut=06-08-2023&guest=4&nights=1&handpicked=&roomName=2%20Bedrooms&roomBreakfast=0
476,Genteng,2 BR,2,53,Full Furnished,7,1,"Rp5,467,250",4.1,24.1,2,13.7,7,Bandara Internasional Juanda dapat ditempuh selama 37 menit berkendara dari unit ini (24.1 km); Stasiun Surabaya Pasarturi hanya 8 menit berkendara (2.3 km); Stasiun Gubeng Surabaya juga hanya 8 menit berkendara (2 km); Universitas Airlangga Campus B dapat ditempuh selama 12 menit berkendara (4.1 km); Universitas Kristen Petra Surabaya hanya 26 menit berkendara (11.7 km); Universitas Widya Mandala berjarak 12 menit berkendara (4.7 km).,https://www.travelio.com/property/surabaya/best-choice-and-cozy-living-at-2br-at-bale-hinggil-apartment-by-travelio?searchType=monthly&checkIn=09-07-2023&checkOut=09-08-2023&guest=4&nights=1&handpicked=&roomName=2%20Bedroom&roomBreakfast=0
477,Sukolilo,2 BR,2,44,Full Furnished,27,1,"Rp5,164,617",4.5,15.8,10.5,14,5.8,Bandara Internasional Juanda berjarak 25 menit berkendara (15.8 km). Stasiun Surabaya Gubeng berjarak 27 menit berkendara (10.5 km). Institut Teknologi Sepuluh Nopember berjarak 12 menit berkendara (4.5 km). Rumah Sakit Umum Haji Surabaya berjarak 8 menit berkendara (3.4 km). ,https://www.travelio.com/property/surabaya/homey-and-strategic-2br-at-bale-hinggil-apartment-by-travelio?searchType=monthly&checkIn=03-07-2023&checkOut=03-08-2023&guest=4&nights=1&handpicked=&roomName=2%20Bedroom&roomBreakfast=0
478,Sukolilo,2 BR,2,44,Full Furnished,5,1,"Rp5,459,617",4.5,15.8,10.5,14,5.8,"Bandara Internasional Juanda berjarak 25 menit berkendara (15.8 km). Stasiun Surabaya Gubeng berjarak 27 menit berkendara (10.5 km). Institut Teknologi Sepuluh Nopember berjarak 12 menit berkendara (4.5 km). Rumah Sakit Umum Haji Surabaya berjarak 8 menit berkendara (3.4 km). Stasiun Light Rail Transit (LRT) Taman Surya Surabaya: 1 km, sekitar 5 menit dengan mobil. Nikmati tinggal yang nyaman dan strategis di Apartemen yang Nyaman dan Strategis dengan 2 Kamar Tidur di Bale Hinggil. Pesan sekarang dan temukan pesona Surabaya yang ada di depan pintu Anda!",https://www.travelio.com/property/surabaya/best-location-and-comfy-2br-at-bale-hinggil-apartment-by-travelio?searchType=monthly&checkIn=09-07-2023&checkOut=09-08-2023&guest=4&nights=1&handpicked=&roomName=2%20Bedrooms&roomBreakfast=0
479,Sukolilo,2 BR,2,44,Full Furnished,27,1,"Rp5,189,617",4.5,15.8,10.5,14,5.8,Bandara Internasional Juanda berjarak 25 menit berkendara (15.8 km). Stasiun Surabaya Gubeng berjarak 27 menit berkendara (10.5 km). Institut Teknologi Sepuluh Nopember berjarak 12 menit berkendara (4.5 km). Rumah Sakit Umum Haji Surabaya berjarak 8 menit berkendara (3.4 km). ,https://www.travelio.com/property/surabaya/best-price-2br-with-pool-view-apartment-at-taman-melati-surabaya-by-travelio?searchType=monthly&checkIn=02-07-2023&checkOut=02-08-2023&guest=4&nights=1&handpicked=&roomName=2%20Bedrooms&roomBreakfast=0
480,Mulyorejo,2 BR,2,50.97,Full Furnished,6,1,"Rp5,652,344",0.5,21.5,5.5,18.5,10.3,Bandara Internasional Juanda berjarak 40 menit berkendara (21.5 km). Stasiun Surabaya Gubeng berjarak 18 menit berkendara (5.5 km). Institut Teknologi Sepuluh Nopember berjarak 9 menit berkendara (3.2 km). Rumah Sakit Umum Haji Surabaya berjarak 9 menit berkendara (2.9 km). ,https://www.travelio.com/property/surabaya/spacious-2br-combine-unit-at-bale-hinggil-apartment-by-travelio?searchType=monthly&checkIn=03-07-2023&checkOut=03-08-2023&guest=undefined&nights=1&handpicked=
481,Sukolilo,2 BR,2,50,Full Furnished,20,1,"Rp5,850,473",,,,,,"Halte Bus: Dapat ditempuh dengan berjalan kaki. Bandara Internasional Juanda: 17 km, sekitar 30 menit dengan mobil. Nikmati pengalaman menginap yang nyaman dan menyenangkan di Apartemen 2BR Luas di Bale Hinggil Apartment. Segera pesan sekarang dan jelajahi keindahan Surabaya dari kenyamanan apartemen ini!",https://www.travelio.com/property/surabaya/best-location-and-comfy-2br-at-tamansari-papilio-apartment-by-travelio?searchType=monthly&checkIn=09-07-2023&checkOut=09-08-2023&guest=undefined&nights=1&handpicked=
482,Gayungan,2 BR,2,36.97,Full Furnished,21,1,"Rp6,260,005",2.6,15,10.1,6,5,Bandara Internasional Juanda dapat ditempuh selama 19 menit berkendara dari apartemen ini (15.0 km); Stasiun Surabaya Gubeng berlokasi 23 menit berkendara (10.1 km); Stasiun Surabaya Pasarturi hanya 24 menit berkendara (10.2 km) Universitas Petra Christian dapat ditempuh selama 7 menit berkendara (2.6 km); Masjid Al-Akbar Surabaya hanya 9 menit berkendara (2.9 km).,https://www.travelio.com/property/surabaya/comfy-and-modern-wonderful-2br-apartment-at-tanglin-supermall-mansion-by-travelio?searchType=monthly&checkIn=09-07-2023&checkOut=09-08-2023&guest=undefined
483,Sambikerep,2 BR,2,32.5,Full Furnished,28,1,"Rp6,249,524",18.1,26.3,11.7,15.5,4.5,Bandara Internasional Juanda bisa diakses dengan 33 menit berkendara (26.3 km); Rumah Sakit Premier Surabaya Berjarak 37 Menit Berkendara (13.3 km); 24 menit berkendara ke Surabaya Town Square (11 km); 30 menit berkendara menuju Universitas Kristen Petra (18.1 km); 31 menit berkendara menuju House Of Sampoerna (18.7 km),https://www.travelio.com/property/surabaya/best-deal-2br-apartment-at-taman-beverly-by-travelio?searchType=monthly&checkIn=09-07-2023&checkOut=09-08-2023&guest=undefined&nights=1&handpicked=
484,Sukomanunggal,2 BR,2,83,Full Furnished,9,1,"Rp6,532,500",3.6,24.3,9.8,14.4,2.5,Bandara Juanda dapat ditempuh 36 menit berkendara (24.3 km); Stasiun Kereta Api Gubeng hanya 30 menit berkendara (11.7 km): Stasiun Kereta Api Pasarturi 27 menit berkendara (9.2 km); Universitas Airlangga Kampus B hanya 31 menit berkendara (10.1 km); Institut Teknologi Sepuluh November 37 menit berkendara (13.3 km);  Universitas Ciputra berjarak 20 menit berkendara (9.9 km); Universitas WIjaya Kusuma hanya 9 menit berkendara (3.5 km).,https://www.travelio.com/property/surabaya/lavish-2br-apartment-at-grand-sungkono-lagoon-by-travelio?searchType=monthly&checkIn=08-07-2023&checkOut=08-08-2023&guest=undefined&nights=1&handpicked=
485,Dukuh Pakis,2 BR,2,46,Full Furnished,17,1,"Rp6,920,000",5,22.3,7,11.5,0.7,Bandara Internasional Juanda bisa diakses dengan 24 menit berkendara (22.3 km); 21 menit berkendara menuju Stasiun Pasar Turi (7 km); 2 menit berkendara ke Gerbang Tol Kota Satelit (700 m); 13 menit berkendara menuju Universitas Negeri Surabaya (UNESA) (5 km); Rumah Sakit Premier Surabaya berjarak 27 menit berkendara (9.5 km),https://www.travelio.com/property/surabaya/spacious-2br-connected-to-mall-at-anderson-supermall-mansion-apartment-by-travelio?searchType=monthly&checkIn=04-07-2023&checkOut=04-08-2023&guest=undefined&nights=1&handpicked=
486,Sambikerep,2 BR,2,53,Full Furnished,1,1,"Rp6,991,682",2.9,28.4,11,11.1,8.7,"Bandara Internasional Juanda bisa diakses dengan 47 menit berkendara (28,4 km); 40 menit berkendara menuju Stasiun Gubeng (13,9 km); 37 menit berkendara ke Stasiun Pasar Turi (11 km); 20 menit berkendara menuju Jalan Tol Surabaya-Gempol (8,7 km); 29 menit berkendara ke Terminal Joyoboyo (11,1 km); dan RS Marinir Gunung Sari berjarak 27 menit berkendara (9,5 km).",https://www.travelio.com/property/surabaya/elegant-and-spacious-3br-at-bale-hinggil-apartment-by-travelio?searchType=monthly&checkIn=07-07-2023&checkOut=07-08-2023&guest=undefined&nights=1&handpicked=
487,Sukolilo,3 BR,3,64,Full Furnished,20,1,"Rp7,225,400",4.5,15.8,10.5,14,5.8,Bandara Internasional Juanda berjarak 25 menit berkendara (15.8 km). Stasiun Surabaya Gubeng berjarak 27 menit berkendara (10.5 km). Institut Teknologi Sepuluh Nopember berjarak 12 menit berkendara (4.5 km). Rumah Sakit Umum Haji Surabaya berjarak 8 menit berkendara (3.4 km). ,https://www.travelio.com/property/surabaya/exquisite-1br-at-praxis-apartment-by-travelio?searchType=monthly&checkIn=04-07-2023&checkOut=04-08-2023&guest=undefined&nights=1&handpicked=
488,Genteng,studioroom,1,44,Full Furnished,9,1,"Rp7,550,313",4.4,20.8,4.1,10.8,7.4,Bandara Internasional Juanda berjarak 30 menit berkendara (20.8 km). Stasiun Surabaya Pasar Turi berjarak 10 menit berkendara (4.1 km). Rumah Sakit Umum Dr. Soetomo berjarak 15 menit berkendara (4.5 km). Universitas Airlangga Kampus A berjarak 13 menit berkendara (4.4 km). Institut Teknologi Sepuluh Nopember (ITS) berjarak 18 menit berkendara (6.7 km). ,https://www.travelio.com/property/surabaya/aesthetic-2br-connected-to-mall-at-supermall-mansion-apartment-by-travelio?searchType=monthly&checkIn=08-07-2023&checkOut=08-08-2023&guest=undefined&nights=1&handpicked=
489,Wiyung,2 BR,2,53,Full Furnished,23,1,"Rp8,253,332",2.9,28.4,11,11.1,8.7,"Bandara Internasional Juanda bisa diakses dengan 47 menit berkendara (28,4 km); 40 menit berkendara menuju Stasiun Gubeng (13,9 km); 37 menit berkendara ke Stasiun Pasar Turi (11 km); 20 menit berkendara menuju Jalan Tol Surabaya-Gempol (8,7 km); 29 menit berkendara ke Terminal Joyoboyo (11,1 km); dan RS Marinir Gunung Sari berjarak 27 menit berkendara (9,5 km).",https://www.travelio.com/property/surabaya/modern-2br-apartment-at-aryaduta-residence-surabaya-connected-to-cito-mall-by-travelio?searchType=monthly&checkIn=03-07-2023&checkOut=03-08-2023&guest=undefined&nights=1&handpicked=
490,Gayungan,2 BR,2,76,Full Furnished,17,1,"Rp8,573,897",4.2,8.2,8.7,2,6.4,Bandara Internasional Juanda bisa diakses dengan 15 menit (8.2 km); Gerbang Tol Waru 1 berjarak 11 menit (6.4 km); Rumah Sakit Siloam Surabaya yang bisa dijangkau dengan 18 menit (9.1 km); Rumah Sakit Islam Jemursari berjarak 18 menit (9.1 km); Rumah Sakit Royal Surabaya berjarak 13 menit (4.8 km); UIN Sunan Ampel yang bisa ditempuh dengan 11 menit (6.3 km); Univesitas Negeri Surabaya (UNESA) berjarak 27 menit (14.2 km); Universitas Kristen Petra berjarak 8 menit (4.2 km).,https://www.travelio.com/property/surabaya/best-location-and-comfy-1br-at-praxis-apartment-by-travelio?searchType=monthly&checkIn=02-07-2023&checkOut=02-08-2023&guest=undefined&nights=1&handpicked=
491,Genteng,studioroom,1,59,Full Furnished,25,1,"Rp8,194,000",4.4,20.8,4.1,10.8,7.4,Bandara Internasional Juanda berjarak 30 menit berkendara (20.8 km). Stasiun Surabaya Pasar Turi berjarak 10 menit berkendara (4.1 km). Rumah Sakit Umum Dr. Soetomo berjarak 15 menit berkendara (4.5 km). Universitas Airlangga Kampus A berjarak 13 menit berkendara (4.4 km). Institut Teknologi Sepuluh Nopember (ITS) berjarak 18 menit berkendara (6.7 km). ,https://www.travelio.com/property/surabaya/premium-2br-apartment-near-marvell-city-mall-at-the-linden-by-travelio?searchType=monthly&checkIn=04-07-2023&checkOut=04-08-2023&guest=undefined&nights=1&handpicked=
492,Wonokromo,2 BR,2,79,Full Furnished,8,2,"Rp8,690,996",1.6,15.3,6.4,11.3,6.9,Bandara Internasional Juanda berjarak 30 menit berkendara (15.3 km). Stasiun Surabaya Pasar Turi berjarak 15 menit berkendara (6.4 km). Universitas Airlangga Kampus B berjarak 10 menit berkendara (3.9 km). Institut Teknologi Sepuluh Nopember berjarak 20 menit berkendara (7.0 km). Universitas Katholik Widya Mandala berjarak 5 menit berkendara (1.6 km). Rumah Sakit Umum Daerah Dr. Soetomo berjarak 10 menit berkendara (4.5 km).,https://www.travelio.com/property/surabaya/stunning-and-cozy-1br-at-the-via-and-the-vue-apartment-by-travelio?searchType=monthly&checkIn=09-07-2023&checkOut=09-08-2023&guest=undefined&nights=1
493,Dukuh Pakis,studioroom,1,48.63,Full Furnished,15,1,"Rp8,560,500",2.8,22,0.35,11.9,6.8,Bandara Internasional Juanda dapat diakses dengan 42 menit berkendara (23.3 km); 18 menit berkendara ke Universitas Negeri Surabaya (UNESA) (5.3 km); 23 menit berkendara menuju Stasiun Pasar Turi (6.7 km); 26 menit berkendara ke Rumah Sakit Dr. Soetomo (9.6 km); dan Jembatan Suramadu berjarak  45 menit berkendara (23.6 km),https://www.travelio.com/property/surabaya/strategic-2br-apartment-at-trillium-residence-by-travelio?searchType=monthly&checkIn=03-07-2023&checkOut=03-08-2023&guest=undefined&nights=1&handpicked=
494,Genteng,2 BR,2,67,Full Furnished,3,2,"Rp11,730,000",2.8,22,0.35,11.9,6.8,Bandara Internasional Juanda bisa diakses dengan 34 menit berkendara (22 km); 5 menit berjalan kaki ke Stasiun Surabaya Gubeng (350 m); 12 menit berkendara menuju Stasiun Pasar Turi (3.8 km); 8 menit berkendara ke Universitas Airlangga Kampus B (2.8 km); 10 menit berkendara ke Stadion Gelora 10 November (3.5 km) dan Hotel JW Marriot Surabaya berjarak 6 menit berkendara (2.4 km),https://www.travelio.com/property/surabaya/vibrant-and-luxurious-2br-apartment-at-trillium-residence-surabaya-by-travelio?searchType=monthly&checkIn=09-07-2023&checkOut=09-08-2023&guest=3&nights=1&handpicked=&roomName=2%20Bed%20Room&roomBreakfast=0
495,Genteng,2 BR,2,90.4,Full Furnished,20,2,"Rp12,270,000",2.8,22,0.35,11.9,6.8,Bandara Internasional Juanda bisa diakses dengan 34 menit berkendara (22 km); 5 menit berjalan kaki ke Stasiun Surabaya Gubeng (350 m); 12 menit berkendara menuju Stasiun Pasar Turi (3.8 km); 8 menit berkendara ke Universitas Airlangga Kampus B (2.8 km); 10 menit berkendara menuju Stadion Gelora 10 November (3.5 km) dan Hotel JW Marriot Surabaya berjarak 6 menit berkendara (2.4 km).,https://www.travelio.com/property/surabaya/scenic-modern-2br-apartment-at-trillium-residence-by-travelio?searchType=monthly&checkIn=10-07-2023&checkOut=10-08-2023&guest=undefined&nights=1&handpicked=
496,Genteng,2 BR,2,91.4,Full Furnished,17,2,"Rp12,260,001",2.8,22,0.35,11.9,6.8,Bandara Internasional Juanda bisa diakses dengan 34 menit berkendara (22 km); 5 menit berjalan kaki ke Stasiun Surabaya Gubeng (350 m); 12 menit berkendara menuju Stasiun Pasar Turi (3.8 km); 8 menit berkendara ke Universitas Airlangga Kampus B (2.8 km); 10 menit berkendara menuju Stadion Gelora 10 November (3.5 km) dan Hotel JW Marriot Surabaya berjarak 6 menit berkendara (2.4 km).,https://www.travelio.com/property/surabaya/best-view-luxurious-2br-supermall-mansion-apartment-connected-to-mall-by-travelio?searchType=monthly&checkIn=07-07-2023&checkOut=07-08-2023&guest=undefined
497,Sambikerep,2 BR,2,55,Full Furnished,36,1,"Rp12,420,000",2.9,28.4,11,11.1,8.7,"Bandara Internasional Juanda bisa diakses dengan 47 menit berkendara (28,4 km); 40 menit berkendara menuju Stasiun Gubeng (13,9 km); 37 menit berkendara ke Stasiun Pasar Turi (11 km); 20 menit berkendara menuju Jalan Tol Surabaya-Gempol (8,7 km); 29 menit berkendara ke Terminal Joyoboyo (11,1 km); dan RS Marinir Gunung Sari berjarak 27 menit berkendara (9,5 km).",https://www.travelio.com/property/surabaya/spacious-2br-at-the-via-and-the-vue-apartment-surabaya-by-travelio?searchType=monthly&checkIn=04-07-2023&checkOut=04-08-2023&guest=undefined&nights=1&handpicked=
498,Dukuh Pakis,2 BR,2,97.3,Full Furnished,26,1,"Rp13,160,208",2.6,15,10.1,6,5,Bandara Internasional Juanda dapat diakses dengan 42 menit berkendara (23.3 km); 18 menit berkendara ke Universitas Negeri Surabaya (UNESA) (5.3 km); 23 menit berkendara menuju Stasiun Pasar Turi (6.7 km); 26 menit berkendara ke Rumah Sakit Dr. Soetomo (9.6 km); dan Jembatan Suramadu berjarak  45 menit berkendara (23.6 km).,https://www.travelio.com/property/surabaya/spacious-2br-apartment-with-access-mall-at-tanglin-supermall-mansion-by-travelio?searchType=monthly&checkIn=10-07-2023&checkOut=10-08-2023&guest=4&nights=1&handpicked=&roomName=2%20Bedroom&roomBreakfast=0
499,Sambikerep,2 BR,2,51.5,Full Furnished,11,1,"Rp15,788,983",18.1,26.3,11.7,15.5,4.5,Bandara Internasional Juanda bisa diakses dengan 33 menit berkendara (26.3 km); Rumah Sakit Premier Surabaya Berjarak 37 Menit Berkendara (13.3 km); 24 menit berkendara ke Surabaya Town Square (11 km); 30 menit berkendara menuju Universitas Kristen Petra (18.1 km); 31 menit berkendara menuju House Of Sampoerna (18.7 km,https://www.travelio.com/property/surabaya/strategic-and-spacious-3br-apartment-at-trillium-residence-by-travelio?searchType=monthly&checkIn=10-07-2023&checkOut=10-08-2023&guest=undefined&nights=1&handpicked=
500,Genteng,3 BR,3,101,Full Furnished,30,2,"Rp16,106,551",2.8,22,0.35,11.9,6.8,Bandara Internasional Juanda bisa diakses dengan 34 menit berkendara (22 km); 5 menit berjalan kaki ke Stasiun Surabaya Gubeng (350 m); 12 menit berkendara menuju Stasiun Pasar Turi (3.8 km); 8 menit berkendara ke Universitas Airlangga Kampus B (2.8 km); 10 menit berkendara menuju Stadion Gelora 10 November (3.5 km) dan Hotel JW Marriot Surabaya berjarak 6 menit berkendara (2.4 km).,https://www.travelio.com/property/surabaya/luxurious-and-spacious-2br-apartment-at-one-east-penthouse-residences-by-travelio?searchType=monthly&checkIn=07-07-2023&checkOut=07-08-2023&guest=4&nights=1&handpicked=&roomName=2%20Bedrooms&roomBreakfast=0
501,Sukolilo,2 BR,2,106,Full Furnished,26,1,"Rp19,699,999",4.3,19.8,11.3,11.7,1.1,Bandara Internasional Juanda berjarak 30 menit berkendara (14.5 km). Stasiun Surabaya Gubeng berjarak 23 menit berkendara (8.3 km). Institut Teknologi Sepuluh Nopember berjarak 2 menit berkendara (1 km). Rumah Sakit Umum Haji Surabaya berjarak 6 menit berkendara (1.7 km). Universitas Airlangga Kampus C hanya berjarak 9 menit berkendara (3.2 km). Airlangga Convention Center hanya berjarak 14 menit berkendara (3.4 km).,https://www.travelio.com/property/surabaya/chic-and-spacey-3br-at-the-rosebay-apartment-by-travelio?searchType=monthly&checkIn=03-07-2023&checkOut=03-08-2023&guest=undefined&nights=1&handpicked=
502,Dukuh Pakis,3 BR,3,120,Full Furnished,5,2,"Rp25,406,250",6.7,28.8,12.3,23.3,5,Bandara Internasional Juanda dapat ditempuh selama 37 menit berkendara (28.8 km); Universitas Wijaya Kusuma Surabaya 17 menit berkendara (6.7 km); UIN Sunan Ampel 31 menit berkendara (18.4 km); Stasiun Surabaya Gubeng 31 menit berkendara (12.3 km);  Stasiun Surabaya Pasar Turi 29 menit berkendara (14.1 km).,https://www.travelio.com/property/surabaya/unfurnished-1br-at-25th-floor-with-ac-apartment-at-gunawangsa-tidar-by-travelio?searchType=monthly&checkIn=02-07-2023&checkOut=02-08-2023&guest=undefined&nights=1&handpicked=
503,Bubutan,studioroom,1,26.88,Full Furnished,25,1,"Rp2,650,000",6.6,20.3,3,18.7,1.9,Bandara Internasional Juanda bisa diakses dengan berkendara selama 43 menit (20.3 km); 19 menit berkendara dari Stasiun Surabaya Gubeng (6.6 km); 11 menit berkendara dari Stasiun Pasar Turi (3 km); 17 menit berkendara menuju Rumah Sakit Mitra Keluarga Surabaya (5.2 km); Universitas Airlangga berjarak 21 menit berkendara (6.6 km).,https://www.travelio.com/property/surabaya/luxurious-modern-studio-connected-to-pakuwon-mall?searchType=monthly&checkIn=08-07-2023&checkOut=08-08-2023&guest=3&nights=1&handpicked=&roomName=Studio%20Room&roomBreakfast=0
504,Sambikerep,studioroom,1,,Full Furnished,32,1,"Rp3,932,585",3.1,26.4,11.8,13.4,4.8,"Strategis berada di 3 arena padang golf, seperti Bukit Darmo Golf, Golf Graha Family, dan Pakuwon Golf. Cocok untuk Anda yang ingin mengadakan pertemuan bersama rekan kerja. Lokasinya hanya berjarak 30 menit berkendara (13,3 km) dari pusat kota. Bandara Internasional Juanda dapat ditempuh dalam 32 menit berkendara (26,4 km). Stasiun Pasar Turi dapat dijangkau dalam 25 menit berkendara (14,7 km) dan Stasiun Gubeng dapat dijangkau dalam 28 menit berkendara (11,8 km).",https://www.travelio.com/property/surabaya/best-modern-minimalist-unfurnished-studio-room-at-menara-rungkut-apartment-by-travelio?searchType=monthly&checkIn=01-07-2023&checkOut=01-08-2023&guest=1
505,Gunung Anyar,studioroom,1,22,Unfurnished,7,1,"Rp1,482,834",5.6,8.5,14.9,11.4,12.7,Bandara Udara Juanda dapat ditempuh selama 14 menit berkendara (8.5 km); Stasiun Surabaya Gubeng 39 menit berkendara (14.9 km); Stasiun Surabaya Kota 46 menit berkendara (26.7 km): Gerbang Tol Waru hanya 22 menit berkendara (12.7 km); Universitas Kristen Petra 19 menit berkendara (5.6 km); ,https://www.travelio.com/property/surabaya/best-corner-unfurnished-studio-apartment-with-ac-at-taman-melati-surabaya-by-travelio?searchType=monthly&checkIn=01-07-2023&checkOut=01-08-2023&guest=1&nights=1
506,Mulyorejo,studioroom,1,25.87,Unfurnished,27,1,"Rp1,510,000",0.5,21.5,5.5,18.5,10.3,Bandara Internasional Juanda berjarak 40 menit berkendara (21.5 km). Stasiun Surabaya Gubeng berjarak 18 menit berkendara (5.5 km). Institut Teknologi Sepuluh Nopember berjarak 9 menit berkendara (3.2 km). Rumah Sakit Umum Haji Surabaya berjarak 9 menit berkendara (2.9 km). ,https://www.travelio.com/property/surabaya/unfurnished-studio-apartment-at-18th-floor-puncak-cbd-by-travelio?searchType=monthly&checkIn=01-07-2023&checkOut=01-08-2023&guest=1&nights=1&handpicked=
507,Wiyung,studioroom,1,21.32,Unfurnished,18,1,"Rp1,609,968",4.8,21.4,11.4,6,2.3,Bandara Internasional Juanda dapat ditempuh dengan 27 menit berkendara (21.4 km); 8 menit berkendara menuju Gerbang Tol Gunung Sari 2 (2.3 km); Stasiun Gubeng berjarak 29 menit berkendara (11.4 km); 19 menit berkendara ke Terminal Joyoboyo (6 km); Rumah sakit terdekat yaitu Rumah Sakit Marinir Gunung Sari bisa diakses dengan 13 menit berkendara (4 km) dan 7 menit berkendara menuju Rumah Umum Sakit Wijaya (2.3 km); 16 menit menuju Universitas Negeri Surabaya (4.8 km).,https://www.travelio.com/property/surabaya/strategic-unfurnished-studio-with-ac-at-bale-hinggil-apartment-by-travelio?searchType=monthly&checkIn=01-07-2023&checkOut=01-08-2023&guest=1&nights=1&handpicked=
508,Sukolilo,studioroom,1,25,Unfurnished,25,1,"Rp1,610,000",4.5,15.8,10.5,14,5.8,Bandara Internasional Juanda berjarak 25 menit berkendara (15.8 km). Stasiun Surabaya Gubeng berjarak 27 menit berkendara (10.5 km). Institut Teknologi Sepuluh Nopember berjarak 12 menit berkendara (4.5 km). Rumah Sakit Umum Haji Surabaya berjarak 8 menit berkendara (3.4 km). ,https://www.travelio.com/property/surabaya/best-deal-and-cozy-studio-unfurnished-at-puncak-dharmahusada-apartment-by-travelio?searchType=monthly&checkIn=01-07-2023&checkOut=01-08-2023&guest=1
509,Mulyorejo,studioroom,1,21,Unfurnished,37,1,"Rp1,622,227",1,18.1,5.6,6,10,"Bandara Internasional Juanda bisa diakses dengan 33 menit berkendara (18.1 km); 3 menit berkendara ke Universitas Airlangga, Kampus C (1 km); 4 menit berkendara menuju Rumah Sakit Mitra Keluarga Kenjeran (1.8 km); 16 menit berkendara ke Stasiun Sidotopo (5.6 km); dan Airlangga Convention Center berjarak 3 menit berkendara (1.1 km).",https://www.travelio.com/property/surabaya/exclusive-unfurnished-2br-with-ac-at-puncak-permai-apartment-by-travelio?searchType=monthly&checkIn=01-07-2023&checkOut=01-08-2023&guest=1&nights=1&handpicked=
510,Dukuh Pakis,2 BR,2,36,Unfurnished,16,1,"Rp1,660,000",3.6,24.3,9.8,14.4,2.5,"Bandara Internasional Juanda bisa diakses dengan 32 menit berkendara (24,3 km); 39 menit berkendara ke Mpu Tantular Museum (26,2 km); 28 menit berkendara menuju House of Sampoerna (14,2 km); 11 menit berkendara menuju Universitas Wijaya Kusuma (3,6 km); Rumah Sakit RKZ Surabaya Berjarak 20 Menit Berkendara (6,2 km).",https://www.travelio.com/property/surabaya/cozy-living-unfurnished-2br-at-puncak-cbd-apartment-by-travelio?searchType=monthly&checkIn=01-07-2023&checkOut=01-08-2023&guest=1&nights=1&handpicked=&roomName=2%20Bedrooms&roomBreakfast=0
